Modesti & Pirozzoli (2016) http://dx.doi.org/10.1016/j.ijheatfluidflow.2016.01.007
y+, U+_VD, u'u'_VD, v'v'_VD, w'w'_VD, u'v'_VD
1.249609141291986969e+00, 1.509856078000000101e+00, 4.063484946282542865e-01, 6.498524099999999915e-02, 1.148982630058612425e-01, 1.773340698492198442e-02
1.561523006000496983e+00, 1.691373820865755162e+00, 5.336357194304137685e-01, 4.158867760513457884e-02, 1.253926916228685906e-01, 2.382412016462290977e-02
1.951293422635963282e+00, 2.011604524404871253e+00, 7.083949311739092813e-01, 3.623482767903125901e-02, 1.494106347049832806e-01, 3.163791525772009089e-02
2.438354098268828540e+00, 2.408641791764699391e+00, 9.948292518696459918e-01, 4.559664248321356611e-02, 2.204545869176776085e-01, 3.054011755045199505e-02
3.046989570903507971e+00, 2.977157988187891124e+00, 1.429376677953892560e+00, 4.097928883042984555e-02, 3.074778789349362773e-01, 1.196370863502895995e-02
3.807546021222372179e+00, 3.626206221361996551e+00, 1.981459303712157061e+00, 3.039533904104571582e-02, 3.939198501818869658e-01, 3.817538191542664203e-03
4.757944314009409759e+00, 4.407662190020258386e+00, 2.753573203687611493e+00, 3.762351288324487786e-02, 4.858648148152714952e-01, -1.997133766860633569e-02
5.945570708544391181e+00, 5.353932046415947887e+00, 3.723865295613231208e+00, 5.057106660390624231e-02, 6.113494874256252265e-01, -6.984446510774812433e-02
7.429639507594948178e+00, 6.438827883095401106e+00, 4.949636772932441531e+00, 6.817350400990858372e-02, 7.600756485496310555e-01, -1.479297757302415195e-01
9.284145445194743829e+00, 7.609960760963081938e+00, 6.165663054519041175e+00, 9.323682634440293160e-02, 9.265196151521006840e-01, -2.386783191006089933e-01
1.160155301739971456e+01, 8.861239955416079894e+00, 7.321552382038626128e+00, 1.313606114724006346e-01, 1.117079402290346746e+00, -3.441669010603332080e-01
1.449740670372631612e+01, 1.013767922181791192e+01, 8.079296251182721988e+00, 2.002575478920484708e-01, 1.317057657750219546e+00, -4.564623433071731684e-01
1.811609194200414308e+01, 1.134127718650890060e+01, 8.425890270796580594e+00, 2.871663916970802477e-01, 1.501574191613182174e+00, -5.735334227592330247e-01
2.263803409521447563e+01, 1.242521572581028089e+01, 8.378969246901920798e+00, 3.951692188400047767e-01, 1.668820712194249767e+00, -6.832451237116495824e-01
2.828869434625969603e+01, 1.337911373778667468e+01, 7.872275001681491524e+00, 5.288156639105943135e-01, 1.794518812203430125e+00, -7.457166600194184980e-01
3.534981105030105653e+01, 1.421781980014444891e+01, 7.082983835369878634e+00, 6.886441993657052008e-01, 1.904263375234933608e+00, -8.112238659737359692e-01
4.417344703140069129e+01, 1.493629836629767205e+01, 6.221111012164028509e+00, 8.376403340324521940e-01, 1.984164874818627577e+00, -8.497134913102980525e-01
5.519954321281570486e+01, 1.554748129840883486e+01, 5.398897468932617016e+00, 9.645511332352593170e-01, 2.014466790407872132e+00, -8.658646532544009844e-01
6.897785379387654814e+01, 1.608957624712909151e+01, 4.687206292917795558e+00, 1.057575285298955725e+00, 1.998757548125311256e+00, -8.673423137551392603e-01
8.619535664753031767e+01, 1.662108698965496600e+01, 4.197026676388261990e+00, 1.113426868583793361e+00, 1.942601642484112157e+00, -8.619783733174152252e-01
1.077105056036769071e+02, 1.714303021551406658e+01, 3.831578862376218364e+00, 1.144167819853925794e+00, 1.860014957895094634e+00, -8.423920746067620202e-01
1.345960324155364276e+02, 1.766362048864289847e+01, 3.525300622508805048e+00, 1.136031324050066571e+00, 1.760331136696451804e+00, -8.238568729253172851e-01
1.681924324880868937e+02, 1.822185663467932315e+01, 3.263574368308739260e+00, 1.114471702328105218e+00, 1.653029668409727870e+00, -7.963370285592468178e-01
2.101748011332487067e+02, 1.870561886131039486e+01, 3.011287989506746143e+00, 1.075586370563316185e+00, 1.544178017480469789e+00, -7.546349478314117176e-01
2.626363527653332426e+02, 1.937927259193984142e+01, 2.731612688172530223e+00, 1.018415548300841023e+00, 1.427406126057771063e+00, -6.993735307831617787e-01
3.281927872511474220e+02, 2.002618121306820242e+01, 2.445145302558350942e+00, 9.456656310882239902e-01, 1.293591444106185095e+00, -6.367217162732672353e-01
4.101127070551299880e+02, 2.064635111899643505e+01, 2.144474559012675030e+00, 8.560790774139720449e-01, 1.132832640961496606e+00, -5.585352537830626796e-01
5.124805876960931528e+02, 2.130321328890349974e+01, 1.805716404902060868e+00, 7.662010615384523549e-01, 9.375584342727957265e-01, -4.525987916239651576e-01
6.404004271197276239e+02, 2.195798250671176532e+01, 1.387392548442317741e+00, 6.501849786806441767e-01, 7.068800621027474529e-01, -3.193357413082238971e-01
8.002502278161051663e+02, 2.272458400063634443e+01, 9.417532668003669727e-01, 5.102162854568641492e-01, 5.403684791594486336e-01, -1.799999999999999933e-01
