# Wall-modelled LES, Fureby & Nilsson (2023), https://doi.org/10.1016/J.AST.2023.108503. Fig 13, case E.
# x (0 at -35.8mm from injector), <p> [Pa], rms(p) [Pa]
-4.092873390182466764e+00,1.457346835707853024e+05,4.917248931405483745e+02
-2.506643953424649851e+00,9.841749294365243986e+04,2.609075463895860594e+02
-9.204145166668311617e-01,7.492939096180605702e+04,2.609075463895860594e+02
6.395962517148205961e-01,7.161271194678636675e+04,1.200663886732829269e+03
1.444509370863006126e+00,7.755217669683664280e+04,6.934826258160639554e+03
2.131875460124724952e+00,8.433269802565850841e+04,1.177704445392932394e+04
2.946839068817102003e+00,9.400489242333860602e+04,1.308775724440808699e+04
3.405665765399941591e+00,1.004474446479118342e+05,1.005415782996668713e+04
3.694071117537724547e+00,1.048249570611025556e+05,1.558553067532042041e+04
3.838273793606617801e+00,1.070137132676979527e+05,2.084486879057479382e+04
4.079866097515072454e+00,1.114203940796548413e+05,2.721949947602592874e+04
4.690380515831890307e+00,1.289725367412509659e+05,3.666198680771977524e+04
5.466628371084183868e+00,1.423172335264598369e+05,2.553140606082751765e+04
5.715021442224834658e+00,1.433004751006144797e+05,2.137598421600688016e+04
6.361820624812235536e+00,1.451407388598926482e+05,1.803384324621470296e+04
7.639044327136712553e+00,1.587266356782465300e+05,2.762929538354743272e+04
9.101671470121193153e+00,1.756809034218995366e+05,2.340652916567712964e+04
1.047159689277567196e+01,1.965210679114704253e+05,1.875926919314633415e+04
1.194566869259101694e+01,2.140317808669318911e+05,1.775173315574128355e+04
1.319943084841222003e+01,2.260749207302013820e+05,1.563137356502233888e+04
1.479767717484244827e+01,2.391967138625536172e+05,1.455509609161071421e+04
1.638390661160025985e+01,2.490579088601099211e+05,1.430779179152038705e+04
1.797013604835807854e+01,2.565536431667415600e+05,1.325262677780163358e+04
1.955636548511589723e+01,2.629623892240374698e+05,1.158367604404917802e+04
2.244041900649374099e+01,2.708881684823601972e+05,1.097742721697059460e+04
2.402664844325155968e+01,2.736364480513216113e+05,1.016956650334216829e+04
2.713902286840515643e+01,2.768381557611068129e+05,9.651143415004655253e+03
2.878533675352501575e+01,2.773832648519004579e+05,1.026848822337829915e+04
3.037156619028282734e+01,2.774399414955814136e+05,1.033443603673571488e+04
3.195779562704064602e+01,2.771782206816367107e+05,9.509460295355049311e+03
3.426503844414292388e+01,2.775456157302314532e+05,1.119175761038220662e+04
3.543926023498962508e+01,2.817392175877272384e+05,1.246360829656105489e+04
3.592336921893518564e+01,2.032974956225814240e+05,3.036608434405253502e+04
3.595426979237852549e+01,2.078202301743992430e+05,2.440722835139979725e+04
3.618774079172815306e+01,2.419920023436819320e+05,1.687316173112405522e+04
3.787010534586523391e+01,2.587859252729075961e+05,1.605540884549205657e+04
3.955616740451689850e+01,2.450069324940193619e+05,1.531349594522106054e+04
4.098247977101883066e+01,2.359137229065828724e+05,1.452761783604511584e+04
4.262879365613868998e+01,2.322553206964664278e+05,1.500024383177330310e+04
4.415734202246895279e+01,2.310875846899198077e+05,1.839655621968051128e+04
4.522444182537875434e+01,2.167924863129098667e+05,2.492538974206525018e+04
4.539082952853516417e+01,9.753794482030361542e+04,1.913593266559160838e+04
4.589137920219738476e+01,1.214669064105075086e+05,1.411200922061553865e+04
4.738748196641213895e+01,1.318941545245166926e+05,9.707931809840229107e+03
4.897371140316995763e+01,1.131717102722347918e+05,6.987584508846586687e+03
5.055994083992777632e+01,1.010584022966993944e+05,6.954610602167871548e+03
5.214617027668559501e+01,1.036146405151041981e+05,7.020558415525287273e+03
5.373239971344339949e+01,9.773663226776382362e+04,6.047828168503314373e+03
5.531862915020121818e+01,9.020968607342292671e+04,5.289428314892982598e+03
5.690485858695903687e+01,8.666256807150164968e+04,5.503758708304594620e+03
5.849108802371685556e+01,8.685766368280581082e+04,5.668628241698155762e+03
6.007731746047467425e+01,8.297138977479240566e+04,5.141045734838771750e+03
6.166354689723249294e+01,7.830771636336942902e+04,4.844280574730379158e+03
6.324977633399031163e+01,7.411460560043269652e+04,4.415619787907140562e+03
6.483600577074813032e+01,7.222946497963374713e+04,4.531028461282621720e+03
6.642223520750593480e+01,7.157867068264256523e+04,4.481567601264556288e+03
6.800846464426375348e+01,6.875877513154958433e+04,4.250750254513579421e+03
6.959469408102157217e+01,6.586362850508054544e+04,3.970472047744551674e+03
7.118092351777939086e+01,6.271764094320090953e+04,3.888037281047771103e+03
7.276715295453720955e+01,5.995974501866253559e+04,3.888037281047771103e+03
7.435338239129502824e+01,5.814297357408840617e+04,3.888037281047771103e+03
7.593961182805284693e+01,5.726620022605733539e+04,3.888037281047771103e+03
7.752584126481066562e+01,5.599078316782297043e+04,3.888037281047771103e+03
7.911207070156847010e+01,5.417280764711013762e+04,3.888037281047771103e+03
8.004938809601627270e+01,5.333570256971026538e+04,3.978715524414219544e+03
