Bouheraoua,,Boivin,,Moule,
y/D,T,y/D,T,y/D,T
-8.58564108,367.6268525,-8.551544262,365.1958814,-8.293382643,317.1227443
-7.835511091,460.6251555,-7.014446228,435.6435644,-7.40930087,412.5178756
-7.138420596,542.7994154,-5.903358088,589.5371875,-6.594386927,473.5106682
-6.335251112,677.2957007,-5.244152946,694.0598415,-5.891992482,608.3783519
-5.556707108,766.1280698,-4.664507045,822.6418259,-5.210056128,856.8188218
-4.882202112,878.7560426,-3.646473488,1186.946067,-4.28944205,962.8551423
-4.084861144,1036.751657,-3.096053431,1423.368253,-3.385876381,1096.057793
-3.272220322,1179.309449,-2.618697983,1685.771632,-2.499359121,1239.338275
-2.584601165,1341.71562,-2.141342535,1918.934693,-1.752638814,1387.350957
-1.868567994,1478.840146,-1.493502999,2126.147668,-1.197997246,1500.923744
-1.00411338,1567.183373,-0.726324601,2239.672654,-0.304985354,1583.549448
-0.266017562,1722.374726,0.067373544,2231.201433,0.509685041,1561.390736
0.415918792,1723.145518,0.756886969,2159.225264,1.264550699,1449.512194
1.157524577,1649.462226,1.586576199,1923.316359,1.984372406,1292.515769
1.976795335,1499.755299,2.257146947,1620.806129,2.719348254,1134.032233
2.611753852,1322.151765,2.66630876,1366.7396,3.505090475,1027.703801
3.426180697,1152.3935,3.075470572,1163.410261,4.295378939,903.848705
4.183617147,1009.300803,3.757406926,898.6438167,5.060663069,839.5842683
4.926440676,865.4569636,4.514356279,711.1722394,5.803215988,717.0038387
5.564538264,751.6588345,5.2491427,568.9433567,6.553345977,603.1203525
6.632905219,610.569185,5.985065682,486.7140889,7.344392148,549.2258591
7.326207178,505.4091977,6.73235427,412.5178756,8.121799591,433.0718731
8.012689775,424.0854742,7.559202099,355.9943825,8.724176704,321.37922
8.906026398,359.0694256,8.244548135,339.9574844,,
,,9.144704122,344.1638839,,
