y/D,T,rmsT,O2,rmsO2,N2,rmsN2,H2O,rmsH2O,H2,rmsH2,OH,rmsOH,f,rmsf
-6.78,295.5,30.7,0.2157,0.0117,0.7605,0.0348,0.0217,0.0025,0,0,0,0,0,0
-6.46,297.5,39.4,0.2157,0.0118,0.761,0.0348,0.0213,0.0025,0,0.0001,0,0,0,0
-6.13,295.5,17.4,0.2156,0.0118,0.7606,0.0349,0.0218,0.0024,0,0,0,0,0,0
-5.81,298.1,50.1,0.2163,0.0121,0.7595,0.0349,0.0223,0.0027,0,0,0,0,0,0
-5.49,302.7,27.6,0.2167,0.012,0.7581,0.035,0.0232,0.004,0,0,0,0,0,0
-5.17,321.4,66.8,0.2173,0.0124,0.7549,0.0355,0.0256,0.0067,0,0,0,0,0,0
-4.84,369,96.5,0.2187,0.0131,0.7456,0.0358,0.0328,0.0117,0,0,0,0,0,0
-4.52,460.6,144.2,0.2193,0.0133,0.7336,0.0368,0.0451,0.015,0,0,0,0,0,0
-4.2,614.2,194.2,0.216,0.014,0.7189,0.0379,0.0631,0.021,0,0,0,0,0,0
-3.87,809.7,157.6,0.2118,0.0145,0.6952,0.0394,0.091,0.025,0,0,0,0,0,0
-3.55,928.7,113.6,0.2094,0.0146,0.6647,0.0423,0.1239,0.0312,0,0,0,0,0,0
-3.23,1058.1,110,0.2041,0.0155,0.6201,0.0412,0.1737,0.0331,0,0,0,0,0,0
-2.91,1187.2,103.8,0.1957,0.0164,0.5822,0.0369,0.2197,0.0298,0,0,0.0003,0.0005,0.00003,0.00019
-2.58,1275.6,100.6,0.194,0.0176,0.5562,0.0327,0.2468,0.0261,0,0,0.001,0.001,0.00013,0.0004
-2.26,1299.1,105,0.195,0.018,0.5468,0.0309,0.2547,0.0253,0,0,0.0014,0.001,0.00024,0.00058
-1.94,1310.5,100.6,0.1941,0.0168,0.5471,0.0306,0.2552,0.0241,0,0,0.0016,0.001,0.00023,0.00058
-1.61,1318.1,100.6,0.1926,0.0162,0.5511,0.0309,0.2525,0.0232,0,0,0.0017,0.001,0.00015,0.00045
-1.29,1331.2,100.2,0.1912,0.0161,0.5509,0.0308,0.2541,0.0226,0,0,0.0019,0.001,0.00016,0.00049
-0.97,1326.3,106,0.1901,0.0181,0.5452,0.0411,0.2527,0.0246,0.0081,0.0423,0.0018,0.001,0.00096,0.00469
-0.65,1212.2,165.7,0.162,0.0391,0.4425,0.1075,0.2182,0.0485,0.1743,0.1847,0.001,0.001,0.0214,0.02815
-0.32,840,307.5,0.0816,0.0271,0.191,0.075,0.1049,0.0418,0.6204,0.1315,0.0001,0.0004,0.1248,0.051
0,555.8,240.2,0.0606,0.0214,0.1004,0.0312,0.0551,0.0175,0.782,0.0637,0,0,0.22106,0.05209
0.32,713.1,353.8,0.0549,0.0226,0.1218,0.0379,0.062,0.0192,0.7593,0.067,0,0,0.20185,0.05025
0.65,1101.6,244.2,0.0825,0.0287,0.2603,0.0644,0.1259,0.0336,0.5294,0.1128,0,0.0002,0.08629,0.03558
0.97,1309.8,129.3,0.162,0.0344,0.4554,0.0759,0.2158,0.0415,0.1641,0.1326,0.0007,0.001,0.01633,0.01673
1.29,1353.2,123.4,0.1968,0.0207,0.5428,0.0532,0.252,0.0331,0.0049,0.0262,0.0015,0.001,0.00064,0.00249
1.61,1354.4,141.2,0.201,0.0221,0.5557,0.0304,0.2397,0.0245,0,0,0.0017,0.001,0.00012,0.00044
1.94,1343.4,114.8,0.2062,0.0194,0.5642,0.0303,0.2259,0.0243,0,0,0.0017,0.001,0.00001,0.00011
2.26,1318.2,112.7,0.2118,0.0205,0.5657,0.0306,0.2191,0.0246,0,0,0.0015,0.0009,0.00001,0.00016
2.58,1294.2,111.5,0.2178,0.0205,0.5655,0.0306,0.2134,0.0238,0,0,0.0014,0.0009,0.00001,0.00013
2.91,1267.4,108.9,0.2193,0.0208,0.5668,0.0308,0.2109,0.0245,0,0,0.001,0.0008,0,0.00003
3.23,1236.5,114.5,0.2227,0.0211,0.5691,0.0314,0.2055,0.0254,0,0,0.0007,0.0007,0,0.00007
3.55,1167.7,110.9,0.2261,0.0199,0.5776,0.0332,0.194,0.0265,0,0,0.0003,0.0005,0,0
3.87,1089.7,102.5,0.2237,0.0182,0.6009,0.0357,0.1734,0.0254,0,0.0001,0,0.0001,0,0
4.2,1001.4,99.7,0.22,0.0165,0.6345,0.0397,0.1436,0.0274,0,0,0,0,0,0
4.52,885.1,120.3,0.2187,0.0157,0.6734,0.0397,0.1059,0.0232,0,0,0,0,0,0
4.84,731.2,179,0.216,0.0137,0.7069,0.0388,0.0751,0.0211,0,0,0,0,0,0
5.17,569.2,180.6,0.2163,0.0138,0.7278,0.0375,0.0539,0.0149,0,0,0,0,0,0
5.49,437.6,122.2,0.2135,0.0132,0.7454,0.0372,0.0391,0.0111,0,0,0,0,0,0
5.81,357.8,63,0.208,0.0132,0.7613,0.0368,0.0287,0.0076,0,0,0,0,0,0
6.13,325.8,51.2,0.2083,0.013,0.7659,0.0361,0.0238,0.005,0,0,0,0,0,0
6.46,311.5,20.5,0.2063,0.0128,0.7701,0.0358,0.0216,0.0026,0,0,0,0,0,0
6.78,309.5,18.7,0.2065,0.0128,0.7703,0.0358,0.0213,0.0024,0,0,0,0,0,0
7.1,310.1,52.6,0.2092,0.0136,0.7675,0.0359,0.0213,0.0025,0,0,0,0,0,0
7.43,305.1,17.3,0.2121,0.0134,0.7644,0.0357,0.0214,0.0024,0,0,0,0,0,0
