t/tref KE(M=0.1) Dissipation(M=0.1) KE(M=1.25) Dissipation(M=1.25)
0.4 0.1249 0.0005 0.12568 0.0005
0.8 0.12477 0.00049 0.12667 0.00056
1.2 0.12458 0.00054 0.12662 0.00064
1.6 0.12447 0.00061 0.12697 0.00074
2 0.12406 0.00071 0.12722 0.00105
2.4 0.12362 0.00083 0.12721 0.00127
2.8 0.12318 0.001 0.12665 0.0014
3.2 0.12261 0.00118 0.12669 0.00147
3.6 0.12204 0.00147 0.12724 0.00167
4 0.12125 0.00202 0.12773 0.00192
4.4 0.12036 0.00288 0.12638 0.00221
4.8 0.11891 0.00376 0.12493 0.00268
5.2 0.11719 0.00449 0.12265 0.00319
5.6 0.11545 0.00501 0.11959 0.00373
6 0.11315 0.00555 0.11666 0.00445
6.4 0.11075 0.00641 0.11526 0.00525
6.8 0.10819 0.00715 0.11297 0.00591
7.2 0.10497 0.00777 0.11043 0.00633
7.6 0.10149 0.009 0.10746 0.00706
8 0.09772 0.01027 0.10515 0.00795
8.4 0.09324 0.01145 0.10169 0.00825
8.8 0.08845 0.01248 0.09791 0.00872
9.2 0.08354 0.01206 0.09404 0.00954
9.6 0.07864 0.01137 0.09035 0.00979
10 0.07431 0.01106 0.08649 0.00973
10.4 0.06972 0.01085 0.08288 0.00993
10.8 0.06549 0.01025 0.07978 0.00988
11.2 0.06144 0.00957 0.07539 0.01034
11.6 0.05753 0.00886 0.07142 0.01067
12 0.05405 0.00818 0.06791 0.01051
12.4 0.05079 0.00727 0.06411 0.00993
12.8 0.04778 0.00646 0.0605 0.00923
13.2 0.04532 0.00597 0.05616 0.00865
13.6 0.04298 0.00562 0.05299 0.0081
14 0.04088 0.00527 0.04984 0.0074
14.4 0.03891 0.00486 0.04758 0.00683
14.8 0.0372 0.00443 0.04574 0.00629
15.2 0.03552 0.00405 0.04287 0.00571
15.6 0.03397 0.00376 0.04108 0.00537
16 0.0323 0.00351 0.03912 0.00499
16.4 0.03075 0.0033 0.03677 0.00464
16.8 0.02907 0.00311 0.0348 0.00427
17.2 0.02747 0.00293 0.03299 0.00395
17.6 0.02606 0.00279 0.03189 0.00372
18 0.02519 0.00262 0.03065 0.00349
18.4 0.02407 0.00244 0.0292 0.00335
18.8 0.02303 0.0023 0.02817 0.00315
19.2 0.02207 0.00215 0.02684 0.00298
19.6 0.02111 0.00202 0.02577 0.00279
