time, kinetic_energy((0)(199)), Density((0)(199))
0.001, 0.000115255, 0.5625
0.002, 0.000372573, 0.5625
0.003, 0.000673973, 0.5625
0.004, 0.000999791, 0.5625
0.005, 0.00134209, 0.5625
0.006, 0.00169848, 0.5625
0.007, 0.00205877, 0.5625
0.008, 0.00241725, 0.5625
0.009, 0.0027795, 0.5625
0.01, 0.00314112, 0.5625
0.011, 0.00350174, 0.5625
0.012, 0.00386438, 0.5625
0.013, 0.00422479, 0.5625
0.014, 0.00458685, 0.5625
0.015, 0.00495001, 0.5625
0.016, 0.00531038, 0.5625
0.017, 0.00567334, 0.5625
0.018, 0.00603679, 0.5625
0.019, 0.00639761, 0.5625
0.02, 0.00676125, 0.5625
0.021, 0.00712416, 0.5625
0.022, 0.00748557, 0.5625
0.023, 0.00784967, 0.5625
0.024, 0.00821214, 0.5625
0.025, 0.00857417, 0.5625
0.026, 0.00893841, 0.5625
0.027, 0.00930061, 0.5625
0.028, 0.00966361, 0.5625
0.029, 0.0100277, 0.5625
0.03, 0.0103896, 0.5625
0.031, 0.0107533, 0.5625
0.032, 0.0111173, 0.5625
0.033, 0.0114789, 0.5625
0.034, 0.0118429, 0.5625
0.035, 0.0122069, 0.5625
0.036, 0.0125686, 0.5625
0.037, 0.0129329, 0.5625
0.038, 0.0132964, 0.5625
0.039, 0.0136584, 0.5625
0.04, 0.0140229, 0.5625
0.041, 0.0143857, 0.5625
0.042, 0.0147483, 0.5625
0.043, 0.0151128, 0.5625
0.044, 0.0154752, 0.5625
0.045, 0.0158385, 0.5625
0.046, 0.0162029, 0.5625
0.047, 0.016565, 0.5625
0.048, 0.0169288, 0.5625
0.049, 0.0172929, 0.5625
0.05, 0.0176548, 0.5625
0.051, 0.0180189, 0.5625
0.052, 0.018383, 0.5625
0.053, 0.0187448, 0.5625
0.054, 0.0191092, 0.5625
0.055, 0.019473, 0.5625
0.056, 0.019835, 0.5625
0.057, 0.0201996, 0.5625
0.058, 0.0205627, 0.5625
0.059, 0.0209253, 0.5625
0.06, 0.0212898, 0.5625
0.061, 0.0216525, 0.5625
0.062, 0.0220157, 0.5625
0.063, 0.0223801, 0.5625
0.064, 0.0227425, 0.5625
0.065, 0.0231062, 0.5625
0.066, 0.0234705, 0.5625
0.067, 0.0238326, 0.5625
0.068, 0.0241966, 0.5625
0.069, 0.0245608, 0.5625
0.07, 0.0249227, 0.5625
0.071, 0.0252871, 0.5625
0.072, 0.0256512, 0.5625
0.073, 0.0260132, 0.5625
0.074, 0.0263778, 0.5625
0.075, 0.0267413, 0.5625
0.076, 0.0271036, 0.5625
0.077, 0.0274682, 0.5625
0.078, 0.0278312, 0.5625
0.079, 0.0281941, 0.5625
0.08, 0.0285587, 0.5625
0.081, 0.0289213, 0.5625
0.082, 0.0292849, 0.5625
0.083, 0.0296493, 0.5625
0.084, 0.0300116, 0.5625
0.085, 0.0303755, 0.5625
0.086, 0.0307398, 0.5625
0.087, 0.0311018, 0.5625
0.088, 0.0314661, 0.5625
0.089, 0.0318303, 0.5625
0.09, 0.0321923, 0.5625
0.091, 0.0325568, 0.5625
0.092, 0.0329207, 0.5625
0.093, 0.0332829, 0.5625
0.094, 0.0336476, 0.5625
0.095, 0.0340109, 0.5625
0.096, 0.0343735, 0.5625
0.097, 0.0347381, 0.5625
0.098, 0.035101, 0.5625
0.099, 0.0354642, 0.5625
0.1, 0.0358287, 0.5625
0.101, 0.0361913, 0.5625
0.102, 0.0365551, 0.5625
0.103, 0.0369195, 0.5625
0.104, 0.0372817, 0.5625
0.105, 0.0376457, 0.5625
0.106, 0.03801, 0.5625
0.107, 0.0383721, 0.5625
0.108, 0.0387364, 0.5625
0.109, 0.0391006, 0.5625
0.11, 0.0394626, 0.5625
0.111, 0.0398273, 0.5625
0.112, 0.040191, 0.5625
0.113, 0.0405533, 0.5625
0.114, 0.040918, 0.5625
0.115, 0.0412812, 0.5625
0.116, 0.041644, 0.5625
0.117, 0.0420086, 0.5625
0.118, 0.0423714, 0.5625
