t/tref                   ke                       enstrophy 
0.000000000000000000e+00 1.247272727272727283e-01 4.065858627432256123e-01
5.128205128205127750e-01 1.246523668639053228e-01 3.778398947379949524e-01
1.025641025641025550e+00 1.245063849194283923e-01 3.752266249193384473e-01
1.538461538461538325e+00 1.241439647309212496e-01 4.744752765428122965e-01
2.051282051282051100e+00 1.239075015893197629e-01 5.928508391794383714e-01
2.564102564102563875e+00 1.235923076923076958e-01 7.325843224350383487e-01
3.076923076923076650e+00 1.229671328671328723e-01 9.186755442290541751e-01
3.589743589743589425e+00 1.223011188811188865e-01 1.256979693802751097e+00
4.102564102564102200e+00 1.212663170163170157e-01 1.791252402295329338e+00
4.615384615384614975e+00 1.195412587412587463e-01 2.533759694387529127e+00
5.128205128205127750e+00 1.176177156177156125e-01 3.323462959534441818e+00
5.641025641025640525e+00 1.146177156177156098e-01 3.801664693970256526e+00
6.153846153846153300e+00 1.117160839160839109e-01 4.405722707571463559e+00
6.666666666666666075e+00 1.080454545454545418e-01 4.924206559890177637e+00
7.179487179487178850e+00 1.038011553663727576e-01 5.514544639628593536e+00
7.692307692307691624e+00 9.910839160839160500e-02 6.243550380191028815e+00
8.205128205128204399e+00 9.358472296933835477e-02 7.108965839134192777e+00
8.717948717948717174e+00 8.766608391608392281e-02 7.417238166146500333e+00
9.230769230769229949e+00 8.093452002542909918e-02 6.954798083874912606e+00
9.743589743589742724e+00 7.515244755244752939e-02 6.818271163561694159e+00
1.025641025641025550e+01 6.903962703962703007e-02 6.719902868792022588e+00
1.076923076923076827e+01 6.348251748251745874e-02 6.374164226940407296e+00
1.128205128205128105e+01 5.804099348926933938e-02 5.842326089264199496e+00
1.179487179487179382e+01 5.335272727272727389e-02 5.133233394454323140e+00
1.230769230769230660e+01 4.902486402486400802e-02 4.574612219787882239e+00
1.282051282051281937e+01 4.548951048951049153e-02 3.975564131703387183e+00
1.333333333333333215e+01 4.266666666666667218e-02 3.559190090783002081e+00
1.384615384615384492e+01 4.012625212625212795e-02 3.227249222328019584e+00
1.435897435897435770e+01 3.781376518218622362e-02 2.935145182898379890e+00
1.487179487179487047e+01 3.555644355644357185e-02 2.695455764416947453e+00
1.538461538461538325e+01 3.319580419580426406e-02 2.491822878310599787e+00
1.589743589743589602e+01 3.103321678321676116e-02 2.313485142651766413e+00
1.641025641025640880e+01 2.970629370629368840e-02 2.175639793174717340e+00
1.692307692307691980e+01 2.805594405594405080e-02 2.041936754367670304e+00
1.743589743589743435e+01 2.658494446729739447e-02 1.906596323096505285e+00
1.794871794871794890e+01 2.505115936694882542e-02 1.747543996776834252e+00
1.846153846153845990e+01 2.387587412587411154e-02 1.607388399096762344e+00
1.897435897435897090e+01 2.286779886779884835e-02 1.494605840433723243e+00
1.948717948717948545e+01 2.191093117408904334e-02 1.387683042431318237e+00
2.000000000000000000e+01 2.109090909090907684e-02 1.280964062191022546e+00
