y/D,T,rmsT,O2,rmsO2,N2,rmsN2,H2O,rmsH2O,H2,rmsH2,OH,rmsOH,f,rmsf
-13.78,393.8,153.3,0.2173,0.0163,0.7492,0.0364,0.0315,0.0137,0,0,0,0,0,0
-12.92,409.6,157,0.2153,0.017,0.7487,0.037,0.0341,0.0145,0,0,0,0,0,0
-12.05,460,192.3,0.2123,0.019,0.7476,0.0375,0.0381,0.0167,0,0,0,0,0,0
-11.19,511,213.2,0.207,0.0204,0.7477,0.0383,0.0433,0.0218,0,0,0,0,0,0
-10.33,590.8,239.6,0.201,0.0223,0.7464,0.0394,0.0505,0.0255,0,0,0,0,0,0
-9.47,695.4,243.2,0.2088,0.0216,0.729,0.0406,0.0602,0.0293,0,0,0,0,0,0
-8.61,780.8,232.9,0.2027,0.0208,0.7242,0.0435,0.0711,0.0356,0,0,0,0,0,0.00001
-7.75,868.1,232.6,0.1953,0.0228,0.7161,0.0465,0.0866,0.0446,0,0,0,0,0.00003,0.00044
-6.89,945.1,206.7,0.1892,0.0206,0.7086,0.0482,0.1002,0.0467,0,0,0,0,0.00001,0.00014
-6.03,1032.9,207.3,0.1814,0.0239,0.6955,0.054,0.121,0.0597,0,0,0.0001,0.0006,0.00024,0.00155
-5.17,1134.6,227.4,0.17,0.0279,0.6812,0.0571,0.1464,0.0659,0,0,0.0003,0.0015,0.00041,0.00182
-4.31,1269.7,263.1,0.1529,0.0357,0.6607,0.0658,0.1834,0.0827,0,0.0007,0.001,0.0035,0.00144,0.00402
-3.44,1436.6,308.5,0.1315,0.043,0.6336,0.0744,0.2303,0.0959,0.0001,0.0029,0.0024,0.0053,0.00353,0.0058
-2.58,1629.2,373,0.1051,0.0486,0.6083,0.0804,0.278,0.102,0.0009,0.0078,0.0056,0.0079,0.00648,0.00784
-1.72,1816.5,396.3,0.0809,0.0534,0.5862,0.0896,0.3363,0.1062,0.0029,0.0169,0.0114,0.0138,0.01177,0.00903
-0.86,2000.9,428.4,0.0567,0.059,0.564,0.0905,0.3573,0.11,0.0047,0.0217,0.0153,0.0169,0.01358,0.01022
0,2093.6,434.2,0.0518,0.0646,0.5076,0.0904,0.3938,0.1134,0.0054,0.0238,0.0209,0.0185,0.01743,0.01189
0.86,2064.8,426.9,0.0528,0.0593,0.5688,0.0884,0.3579,0.1043,0.0026,0.0164,0.0158,0.0147,0.01335,0.01
1.72,1840.2,402.2,0.0828,0.054,0.5958,0.0839,0.3252,0.1012,0.0006,0.007,0.0105,0.0118,0.01026,0.00849
2.58,1640.9,367,0.1128,0.0493,0.6227,0.0728,0.2579,0.0942,0,0.0011,0.0046,0.0089,0.00473,0.00698
3.44,1436.9,267.9,0.1379,0.0391,0.6486,0.062,0.2042,0.0804,0,0.001,0.0015,0.0049,0.0018,0.00428
4.31,1287.6,223.6,0.163,0.0277,0.6745,0.056,0.1602,0.0615,0,0,0.0004,0.0026,0.00043,0.00185
5.17,1186.3,193.2,0.1736,0.0235,0.6884,0.0506,0.1359,0.0512,0,0,0.0001,0.0006,0.00012,0.00093
6.03,1104.4,179,0.1811,0.0202,0.709,0.0472,0.1078,0.0427,0,0,0,0.0003,0.00002,0.00025
6.89,1032.7,175.2,0.1869,0.019,0.7198,0.0423,0.0913,0.0353,0,0,0,0.0002,0.00001,0.00019
7.75,960.1,176.4,0.1916,0.0177,0.7306,0.0425,0.0758,0.0321,0,0,0,0,0,0
8.61,923.2,182.5,0.1945,0.0184,0.738,0.041,0.0655,0.0279,0,0,0,0,0,0
9.47,839.4,214.2,0.2015,0.0192,0.7442,0.0394,0.0523,0.0222,0,0,0,0,0,0
10.33,768.3,232,0.2048,0.0204,0.7484,0.0383,0.0448,0.0171,0,0,0,0,0,0
11.19,677.5,249.3,0.2102,0.0214,0.7495,0.0384,0.0382,0.0153,0,0,0,0,0,0
12.05,653.1,249.4,0.2105,0.021,0.753,0.0383,0.0345,0.0142,0,0,0,0,0,0
12.92,556.4,239.8,0.2177,0.0211,0.7509,0.038,0.0294,0.0113,0,0,0,0,0,0
13.78,531.7,232.5,0.218,0.0204,0.753,0.038,0.0271,0.011,0,0,0,0,0,0
