Time (s),Temperature (K)
5.050407828577793e-12,999.9999999999997
2.634411254696692e-08,999.999999998244
1.1776651170071666e-07,999.9999999921735
2.091889108544664e-07,999.9999999861351
3.0061131000821614e-07,999.9999999801338
3.920337091619659e-07,999.9999999741718
4.834561083157156e-07,999.9999999682509
6.513708203536975e-07,999.9999999574869
8.192855323916794e-07,999.9999999468713
9.872002444296614e-07,999.999999936408
1.3276970623036007e-06,999.9999999156731
1.66819388017754e-06,999.9999998955976
2.008690698051479e-06,999.9999998762041
2.3491875159254182e-06,999.9999998575144
2.6896843337993574e-06,999.9999998395476
3.0301811516732965e-06,999.9999998223223
3.3706779695472356e-06,999.9999998058569
3.95937706658234e-06,999.9999997792415
4.548076163617445e-06,999.9999997550683
5.13677526065255e-06,999.9999997334547
5.725474357687655e-06,999.9999997145251
6.642089802256089e-06,999.9999996907025
7.558705246824523e-06,999.9999996742273
8.475320691392957e-06,999.9999996656635
9.391936135961391e-06,999.9999996656162
1.0308551580529825e-05,999.9999996747374
1.1225167025098259e-05,999.9999996937306
1.2141782469666693e-05,999.9999997233546
1.3578688161012364e-05,999.999999793167
1.5015593852358035e-05,999.9999998945964
1.6452499543703706e-05,1000.0000000315268
1.7889405235049375e-05,1000.0000002083219
1.9326310926395044e-05,1000.0000004298865
2.0763216617740714e-05,1000.0000007017309
2.2200122309086383e-05,1000.0000010300402
2.3637028000432052e-05,1000.0000014217576
2.507393369177772e-05,1000.0000018846808
2.651083938312339e-05,1000.0000024275686
2.794774507446906e-05,1000.0000030602572
2.938465076581473e-05,1000.0000037937922
3.08215564571604e-05,1000.0000046405763
3.225846214850607e-05,1000.0000056145378
3.369536783985174e-05,1000.0000067313191
3.513227353119741e-05,1000.0000080084872
3.656917922254308e-05,1000.0000094657689
3.800608491388875e-05,1000.0000111253172
3.944299060523442e-05,1000.0000130120095
4.0879896296580086e-05,1000.0000151537841
4.2316801987925755e-05,1000.0000175820171
4.3753707679271425e-05,1000.0000203319423
4.5190613370617094e-05,1000.0000234431268
4.662751906196276e-05,1000.000026960005
4.806442475330843e-05,1000.0000309324809
4.95013304446541e-05,1000.0000354165957
5.093823613599977e-05,1000.000040475283
5.237514182734544e-05,1000.0000461792187
5.381204751869111e-05,1000.000052607776
5.524895321003678e-05,1000.0000598500958
5.668585890138245e-05,1000.0000680062864
5.812276459272812e-05,1000.000077188773
5.9559670284073786e-05,1000.0000875238162
6.0618135823722815e-05,1000.0000959561812
6.167660136337184e-05,1000.0001051531692
6.273506690302087e-05,1000.000115183021
6.37935324426699e-05,1000.0001261200625
6.485199798231893e-05,1000.0001380452525
6.591046352196796e-05,1000.00015104678
6.696892906161699e-05,1000.0001652207129
6.802739460126601e-05,1000.0001806716989
6.908586014091504e-05,1000.0001975137318
7.014432568056407e-05,1000.0002158709882
7.12027912202131e-05,1000.0002358787394
7.226125675986213e-05,1000.000257684345
7.331972229951116e-05,1000.000281448334
7.437818783916019e-05,1000.0003073455846
7.543665337880921e-05,1000.0003355666094
7.649511891845824e-05,1000.0003663189573
7.755358445810727e-05,1000.0003998287407
7.86120499977563e-05,1000.0004363423006
7.967051553740533e-05,1000.0004761280225
8.072898107705436e-05,1000.0005194783153
8.178744661670339e-05,1000.0005667117705
8.284591215635241e-05,1000.0006181755159
8.362375704494932e-05,1000.0006589103449
8.440160193354623e-05,1000.0007022949305
8.517944682214313e-05,1000.000748501456
8.595729171074004e-05,1000.0007977133166
8.673513659933695e-05,1000.0008501258568
8.751298148793385e-05,1000.0009059471596
8.829082637653076e-05,1000.0009653988855
8.906867126512767e-05,1000.0010287171617
8.984651615372457e-05,1000.0010961535321
9.062436104232148e-05,1000.0011679759708
9.140220593091839e-05,1000.0012444699665
9.218005081951529e-05,1000.0013259396775
9.29578957081122e-05,1000.0014127091628
9.37357405967091e-05,1000.0015051236982
9.451358548530601e-05,1000.0016035511794
9.529143037390292e-05,1000.0017083836213
9.606927526249982e-05,1000.001820038758
9.684712015109673e-05,1000.0019389617515
9.762496503969364e-05,1000.0020656270177
9.840280992829054e-05,1000.0022005401754
9.918065481688745e-05,1000.0023442401309
9.995849970548436e-05,1000.0024973013042
0.00010073634459408126,1000.0026603360096
0.00010151418948267817,1000.002833997002
0.00010229203437127508,1000.0030189801978
0.00010306987925987198,1000.0032160275887
0.00010384772414846889,1000.0034259303577
0.0001046255690370658,1000.0036495322154
0.0001054034139256627,1000.0038877329719
0.00010618125881425961,1000.0041414923634
0.00010695910370285651,1000.0044118341518
0.00010773694859145342,1000.0046998505193
0.00010851479348005033,1000.0050067067799
0.00010929263836864723,1000.005333646435
0.00011007048325724414,1000.0056819965971
0.00011084832814584105,1000.0060531738145
0.00011162617303443795,1000.0064486903268
0.00011240401792303486,1000.0068701607883
0.00011297858617362815,1000.0071991596683
0.00011355315442422145,1000.0075439938681
0.00011412772267481474,1000.0079054358974
0.00011470229092540803,1000.00828429694
0.00011527685917600133,1000.0086814288892
0.00011585142742659462,1000.0090977265121
0.00011642599567718791,1000.0095341297271
0.0001170005639277812,1000.0099916260017
0.0001175751321783745,1000.0104712528902
0.00011814970042896779,1000.0109741007248
0.00011872426867956109,1000.0115013154667
0.00011929883693015438,1000.0120541017257
0.00011987340518074767,1000.012633725956
0.00012044797343134097,1000.0132415198461
0.00012102254168193426,1000.0138788839138
0.00012159710993252755,1000.0145472913208
0.00012217167818312085,1000.0152482919226
0.00012274624643371414,1000.0159835165672
0.00012332081468430743,1000.016754681664
0.00012389538293490073,1000.0175635940391
0.00012446995118549402,1000.0184121560995
0.00012504451943608731,1000.0193023713274
0.0001256190876866806,1000.0202363501279
