Time (s),Temperature (K)
5.050407828577793e-12,999.9999999999997
2.634411254678122e-08,999.999999998244
1.177665116997776e-07,999.9999999921735
2.0918891085277398e-07,999.999999986135
3.006113100057704e-07,999.9999999801337
3.920337091587668e-07,999.9999999741717
4.834561083117632e-07,999.9999999682508
6.513708255502294e-07,999.9999999574868
8.192855427886956e-07,999.9999999468712
9.872002600271617e-07,999.999999936408
1.3276971988635673e-06,999.9999999156731
1.6681941376999728e-06,999.9999998955975
2.0086910765363783e-06,999.9999998762039
2.349188015372784e-06,999.9999998575141
2.6896849542091893e-06,999.9999998395474
3.0301818930455946e-06,999.999999822322
3.370678831882e-06,999.9999998058566
3.959377747160921e-06,999.9999997792414
4.548076662439841e-06,999.9999997550682
5.136775577718762e-06,999.9999997334546
5.725474492997683e-06,999.999999714525
6.6420906344625e-06,999.9999996907022
7.558706775927318e-06,999.9999996742272
8.475322917392136e-06,999.9999996656636
9.391939058856952e-06,999.9999996656164
1.030855520032177e-05,999.9999996747378
1.1225171341786586e-05,999.999999693731
1.2141787483251403e-05,999.999999723355
1.3578700605024515e-05,999.9999997931681
1.5015613726797628e-05,999.9999998945983
1.645252684857074e-05,1000.0000000315301
1.788943997034385e-05,1000.000000208327
1.932635309211696e-05,1000.000000429894
2.076326621389007e-05,1000.0000007017413
2.2200179335663183e-05,1000.0000010300544
2.3637092457436293e-05,1000.0000014217768
2.5074005579209404e-05,1000.0000018847061
2.6510918700982515e-05,1000.0000024276011
2.7947831822755626e-05,1000.0000030602985
2.9384744944528737e-05,1000.0000037938439
3.082165806630185e-05,1000.0000046406407
3.225857118807496e-05,1000.0000056146171
3.369548430984807e-05,1000.000006731416
3.5132397431621184e-05,1000.0000080086048
3.6569310553394295e-05,1000.0000094659111
3.8006223675167406e-05,1000.0000111254883
3.944313679694052e-05,1000.0000130122144
4.088004991871363e-05,1000.0000151540283
4.231696304048674e-05,1000.0000175823071
4.375387616225985e-05,1000.0000203322858
4.519078928403296e-05,1000.0000234435323
4.662770240580607e-05,1000.0000269604826
4.806461552757918e-05,1000.000030933042
4.950152864935229e-05,1000.0000354172535
5.0938441771125404e-05,1000.0000404760526
5.2375354892898515e-05,1000.0000461801177
5.3812268014671626e-05,1000.0000526088245
5.524918113644474e-05,1000.0000598513166
5.668609425821785e-05,1000.0000680077057
5.812300737999096e-05,1000.0000771904213
5.955992050176407e-05,1000.000087525728
6.0618382777042655e-05,1000.0000959582392
6.167684505232123e-05,1000.0001051553837
6.273530732759981e-05,1000.0001151854032
6.379376960287839e-05,1000.0001261226245
6.485223187815697e-05,1000.0001380480071
6.591069415343555e-05,1000.0001510497411
6.696915642871413e-05,1000.0001652238949
6.80276187039927e-05,1000.0001806751172
6.908608097927128e-05,1000.0001975174032
7.014454325454986e-05,1000.0002158749304
7.120300552982844e-05,1000.0002358829713
7.226146780510702e-05,1000.0002576888864
7.33199300803856e-05,1000.0002814532064
7.437839235566418e-05,1000.0003073508105
7.543685463094276e-05,1000.0003355722131
7.649531690622134e-05,1000.0003663249643
7.755377918149991e-05,1000.000399835178
7.86122414567785e-05,1000.000436349197
7.967070373205707e-05,1000.0004761354083
8.072916600733565e-05,1000.000519486223
8.178762828261423e-05,1000.000566720234
8.284609055789281e-05,1000.0006181845714
8.362393369052658e-05,1000.0006589198944
8.440177682316036e-05,1000.0007023049998
8.517961995579413e-05,1000.0007485120722
8.59574630884279e-05,1000.0007977245084
8.673530622106168e-05,1000.0008501376541
8.751314935369545e-05,1000.0009059595939
8.829099248632923e-05,1000.0009654119896
8.9068835618963e-05,1000.0010287309703
8.984667875159678e-05,1000.0010961680814
9.062452188423055e-05,1000.0011679912989
9.140236501686433e-05,1000.0012444861133
9.21802081494981e-05,1000.0013259566845
9.295805128213187e-05,1000.0014127270738
9.373589441476565e-05,1000.0015051425589
9.451373754739942e-05,1000.0016035710379
9.52915806800332e-05,1000.0017084045277
9.606942381266697e-05,1000.0018200607647
9.684726694530075e-05,1000.0019389849135
9.762511007793452e-05,1000.0020656513924
9.84029532105683e-05,1000.0022005658229
9.918079634320207e-05,1000.002344267114
9.995863947583584e-05,1000.0024973296885
0.00010073648260846962,1000.0026603658637
