Time (s),Temperature (K)
5.050407828577793e-12,999.9999999999995
2.7005147582253244e-08,999.9999999975857
1.198092960528118e-07,999.9999999893196
2.1261344452337032e-07,999.999999981096
3.0541759299392883e-07,999.9999999729208
3.982217414644874e-07,999.9999999647974
4.91025889935046e-07,999.9999999567283
6.61908520246575e-07,999.9999999420185
8.327911505581039e-07,999.9999999275066
1.003673780869633e-06,999.999999913199
1.349569572979316e-06,999.9999998848817
1.6954653650889988e-06,999.9999998574539
2.0413611571986814e-06,999.9999998309424
2.387256949308364e-06,999.9999998053719
2.7331527414180467e-06,999.9999997807674
3.0790485335277293e-06,999.9999997571555
3.424944325637412e-06,999.9999997345634
4.042406690870347e-06,999.9999996968598
4.659869056103281e-06,999.9999996626663
5.277331421336215e-06,999.9999996321598
5.894793786569149e-06,999.9999996055273
6.848359236966521e-06,999.9999995724708
7.801924687363892e-06,999.9999995499041
8.755490137761264e-06,999.999999538666
9.709055588158637e-06,999.9999995396622
1.0662621038556009e-05,999.9999995538712
1.1616186488953381e-05,999.9999995823504
1.2569751939350754e-05,999.9999996262417
1.4125814200206596e-05,999.9999997342107
1.568187646106244e-05,999.9999998924859
1.7237938721918284e-05,1000.0000001077944
1.8794000982774127e-05,1000.0000003877651
2.035006324362997e-05,1000.0000007410545
2.1906125504485815e-05,1000.0000011774808
2.346218776534166e-05,1000.0000017081744
2.5018250026197503e-05,1000.000002345752
2.6574312287053347e-05,1000.0000031045191
2.813037454790919e-05,1000.000004000697
2.9686436808765035e-05,1000.0000050526788
3.124249906962088e-05,1000.0000062813191
3.279856133047672e-05,1000.0000077102636
3.4354623591332567e-05,1000.0000093663228
3.591068585218841e-05,1000.0000112798965
3.7466748113044254e-05,1000.0000134854531
3.90228103739001e-05,1000.0000160220752
4.057887263475594e-05,1000.0000189340768
4.2134934895611786e-05,1000.0000222717036
4.369099715646763e-05,1000.0000260919278
4.5247059417323474e-05,1000.0000304593478
4.680312167817932e-05,1000.0000354472103
4.835918393903516e-05,1000.0000411385674
4.9915246199891006e-05,1000.0000476275903
5.147130846074685e-05,1000.0000550210583
5.3027370721602693e-05,1000.000063440047
5.458343298245854e-05,1000.000073021844
5.57271296753573e-05,1000.000080895512
5.687082636825607e-05,1000.0000895498656
5.801452306115483e-05,1000.0000990604461
5.9158219754053596e-05,1000.0001095100977
6.030191644695236e-05,1000.0001209896752
6.144561313985113e-05,1000.0001335988287
6.258930983274989e-05,1000.0001474468577
6.373300652564865e-05,1000.0001626536435
6.487670321854742e-05,1000.0001793506727
6.602039991144618e-05,1000.0001976821619
6.716409660434495e-05,1000.0002178062928
6.830779329724371e-05,1000.0002398965671
6.945148999014248e-05,1000.0002641432917
7.059518668304124e-05,1000.0002907552085
7.173888337594001e-05,1000.0003199612836
7.288258006883877e-05,1000.0003520126702
7.402627676173754e-05,1000.0003871848636
7.51699734546363e-05,1000.0004257800654
7.631367014753507e-05,1000.0004681297788
7.745736684043383e-05,1000.0005145976579
7.829681936476362e-05,1000.0005515547231
7.91362718890934e-05,1000.0005911153133
7.997572441342319e-05,1000.0006334623087
8.081517693775297e-05,1000.0006787914492
8.165462946208276e-05,1000.0007273122462
8.249408198641255e-05,1000.0007792489633
8.333353451074233e-05,1000.0008348416638
8.417298703507212e-05,1000.0008943473254
8.50124395594019e-05,1000.0009580410352
8.585189208373169e-05,1000.0010262172741
8.669134460806147e-05,1000.001099191293
8.753079713239126e-05,1000.0011773005874
8.837024965672105e-05,1000.0012609064773
8.920970218105083e-05,1000.0013503958003
9.004915470538062e-05,1000.0014461827277
9.08886072297104e-05,1000.0015487107123
9.172805975404019e-05,1000.0016584545763
9.256751227836998e-05,1000.0017759227509
9.340696480269976e-05,1000.0019016596792
9.424641732702955e-05,1000.002036248394
9.508586985135933e-05,1000.0021803132836
9.592532237568912e-05,1000.0023345230614
9.67647749000189e-05,1000.002499593953
9.760422742434869e-05,1000.0026762931178
9.844367994867848e-05,1000.0028654423254
9.928313247300826e-05,1000.0030679219034
0.00010012258499733805,1000.0032846749793
0.00010096203752166783,1000.0035167120417
0.00010180149004599762,1000.003765115841
0.0001026409425703274,1000.0040310466624
0.00010348039509465719,1000.0043157479968
0.00010431984761898698,1000.0046205526448
0.00010493865069020764,1000.004858941872
0.0001055574537614283,1000.0051096369982
0.00010617625683264896,1000.0053732778262
0.00010679505990386962,1000.0056505379091
0.00010741386297509028,1000.0059421263874
0.00010803266604631094,1000.0062487899414
0.0001086514691175316,1000.0065713148479
0.00010927027218875227,1000.0069105291436
0.00010988907525997293,1000.007267304917
0.00011050787833119359,1000.0076425607376
0.00011112668140241425,1000.0080372642299
0.00011174548447363491,1000.0084524347977
0.00011236428754485557,1000.008889146509
0.00011298309061607623,1000.0093485311526
0.0001136018936872969,1000.0098317814798
0.00011422069675851756,1000.0103401546423
0.00011483949982973822,1000.0108749758393
0.00011545830290095888,1000.0114376421872
0.00011607710597217954,1000.0120296268287
0.0001166959090434002,1000.0126524832973
0.00011731471211462086,1000.0133078501547
0.00011793351518584152,1000.0139974559205
0.00011855231825706218,1000.0147231243155
0.00011917112132828284,1000.0154867798398
0.0001197899243995035,1000.0162904537111
0.00012040872747072417,1000.0171362901891
0.00012102753054194483,1000.0180265533144
0.00012164633361316549,1000.0189636340929
0.00012226513668438615,1000.0199500581582
0.0001228839397556068,1000.0209884939499
0.00012350274282682747,1000.0220817614451
0.00012412154589804813,1000.0232328414884
0.0001247403489692688,1000.0244448857636
0.00012535915204048946,1000.0257212274608
0.00012597795511171012,1000.0270653926917
0.00012659675818293078,1000.0284811127135
0.00012721556125415144,1000.0299723370271
0.0001278343643253721,1000.0315432474197
0.00012845316739659276,1000.0331982730306
0.00012907197046781342,1000.0349421065227
0.00012969077353903408,1000.036779721455
0.00013030957661025474,1000.0387163909521
0.0001309283796814754,1000.0407577077851
0.00013154718275269607,1000.0429096059844
0.00013216598582391673,1000.0451783841143
0.0001327847888951374,1000.0475707303526
0.00013340359196635805,1000.0500937495337
0.0001340223950375787,1000.0527549923288
0.00013464119810879937,1000.0555624867529
0.00013526000118002003,1000.0585247722062
0.0001358788042512407,1000.0616509362736
0.00013649760732246136,1000.0649506545374
0.00013711641039368202,1000.0684342336715
0.00013773521346490268,1000.0721126581224
0.00013835401653612334,1000.0759976407029
0.00013881074430798705,1000.0790048535439
0.00013926747207985076,1000.0821366980581
0.00013972419985171447,1000.0853987544646
0.0001401809276235782,1000.0887968817221
0.0001406376553954419,1000.0923372333764
0.0001410943831673056,1000.0960262745209
0.00014155111093916932,1000.0998707997533
0.00014200783871103304,1000.1038779521925
0.00014246456648289675,1000.108055243729
0.00014292129425476046,1000.1124105766377
0.00014337802202662417,1000.1169522666183
0.00014383474979848788,1000.1216890673296
0.0001442914775703516,1000.1266301965189
0.0001447482053422153,1000.1317853638815
0.00014520493311407902,1000.137164800774
0.00014566166088594273,1000.1427792919108
0.00014611838865780644,1000.1486402091721
0.00014657511642967016,1000.1547595476771
0.00014703184420153387,1000.1611499642838
0.00014748857197339758,1000.1678248186835
0.0001479452997452613,1000.17479821728
0.000148402027517125,1000.1820850600416
0.00014885875528898872,1000.1897010905357
0.00014931548306085243,1000.1976629493751
0.00014977221083271614,1000.2059882313124
0.00015022893860457985,1000.2146955462349
0.00015068566637644357,1000.2238045843335
0.00015114239414830728,1000.2333361857384
0.000151599121920171,1000.2433124149313
0.0001520558496920347,1000.2537566402603
0.00015251257746389841,1000.264693618911
0.00015296930523576213,1000.276149587703
0.00015342603300762584,1000.2881523601106
0.00015388276077948955,1000.3007314299256
0.00015433948855135326,1000.3139180820037
0.00015479621632321698,1000.3277455105683
0.0001552529440950807,1000.3422489455608
0.0001557096718669444,1000.3574657875639
0.0001561663996388081,1000.3734357518446
0.00015662312741067182,1000.3902010220903
0.00015707985518253554,1000.4078064144524
0.00015753658295439925,1000.4262995524908
0.00015799331072626296,1000.445731053697
0.00015845003849812667,1000.4661547283112
0.00015890676626999038,1000.4876277910862
0.0001593634940418541,1000.5102110867093
